if only you can meet up with people that you met in the part right after the starting bit but other wise it's a good game update(i if you can now but when i played you could not),0
this game is very calm and amazingly fun to play  i already enjoyed myself playing this game for a minute or two. i reall recommend people to play this game. it has nice graphics you get to see other players and unlock friendship and you get to explore other worlds.,1
i can't open my sky because it crashes everytime i open it after update  please fix it fast devs! since feb 24 and i didn't even recieve compensation.,0
omg! this game is awesome i play everyday continuosly for 3 hour. this game have fantastic story with high graphics & music .,1
fun to play with friends and nice sceneries but  the video recording button in-game doesn't work on android(with clean scenery like ios),1
beautiful graphics. cute stuff. but struggle to get a lots of heart and candles  bcz need to farming,1
very entertaining and fun to play through. you're able to make goals to save up for capes and there's seasons that last up to 2-3ish months at a time with daily missions to earn candles. there's a huge amount of emotes and socializing with other players is easy and fun. you can hold hands with other players and sit on their shoulders. the story is really charming and the customization is great!!,1
this is the most beautiful game i've played in my life. it brings me a sense of inner peace and every world makes my soul sing with joy. the music is great  the animation is magnificent  the flying mechanics are easy to learn  and the story itself feels like something out of a whimsical fairy tale. this is definitely a game you should play if you want to escape the stress of the real world.,1
plsss fix your game i cannot enjoy playing anymore because the game won't run smoothly in my mobile phone device and i can't enjoy the game anymore... it's so sad because i like this game but can't enjoy it plsss fix it,0
awesome game are the visuals are stunning. for real they're the best graphics i've ever seen on an android,1
great sensory game. audio visual and sensational integrated. so love it,1
still a 1 star for me. the game is good but everytime  i had a hard time connecting to the server even thought my internet signal is good.,0
i love it  good story and great graphics  but i think increasing the resolution is a good idea,1
i love this game it's so cute yo i just got done playing and i was awesome this game is so good you guys did so good on it the game it's just so wonderful tbh youtubers should play this and if anyone else is thinking about getting this game ....get it you won't be disappointed ,1
i'm giving a four because i want to get some cool stuff without the pass. please let more things be available without the pass.,1
some of the statues in eden doesn't have a button to give them your winged light. additional  i can't log innnnnnn  it keep saying i don't have internet connection this is so nakakairita,0
likes + ,1
really good  sometimes i wish i could play without people. i wish that this would be on playstation or xbox,1
the game is very relaxing  and beautiful the lore here is through the roof! i play the game daily hope the updates never end! edit,1
great game! i love everything about it and the first flight is always so magical! i removed a star from my original review cuz there was a glitch in eden where after everyone died i just started zooming into the sky then it froze and i'm kinda mad about that cuz now i gotta do it again ,1
i loveeee sky is really light and really asome  but the only bad thing is the split of server but everything else is all realy amazing. i realy enjoy playing this game ,1
i love this game so so much!! though the bugs are frustrating  i don't really care that much hahahahaha,1
5 star game  the graphics and story is amazing and i love the whole vibe of it  but after a while it's repetitive  i only get on to grind  there's no more joy in exploring and it's just boring   i wish there was more to do then just grind for candles but it's still an amazing game,1
the best game i've ever played  and i've been playing for a year now. definitely a 20/10. edit,1
it's so beautiful to play. the music is good the characters are cute and the gameplay is sooo fun!!!,1
the game has been crash seen latest version for few days now starting from the double candle event so far i had lost 30 seasonal candle is hurt...,0
really nice game! love the gameplay feel and also the designs for characters.,1
this is such a wonderful game! it's easy to make friends and i love the graphics ,1
this is the most cutest and 2nd greatest game i've ever played ,1
i can't seem to get into the game cause it always say retry my connection or something  but my internet is fine though.,0
ts prices are too high  cosmetics are expensive  does not listen to community feedback and caters towards senior players and those financially comfortable,0
eh... too much bugs to fix  it's always happen all the time so annoying.,0
problematic controls ruin the experience  i am experiencing sudden spins or camera rotations. also sometimes the camera orientation becomes unresponsive.,0
absolutely love this game! the community is amazing and the world is open-map  the whole game and its premise is stunning,1
this game was amazing the graphics of the game is sooooo good the storyline is beatiful and the players are so nice best game ever!!!!,1
this a aaa rated game what a wonderful wholesome game it is!!! graphics is good too well everyone should try this game out.,1
don't delete my review  there is a new bug that causes the android 8 players to crash every realm except eden  fix it already  it's been weeks  we can't farm candles,0
very lovely game. amazing visuals. weird devs and strange company that ignores beta and releases all bugs to live. could live with it sometimes. nice graphics and music.,1
such a beautiful game with beautiful graphics. soothing music. work of art.,1
the is a bug where there is no sound at all i have tried everything turn up the volume and everything i could but i can't hear anything so... please fix this,0
this mobile game is absolutely epic especially if you have good headphones. completely superior to your average mobile game.,1
this game made me so relaxed when i first joined sky. its a lovely beautiful place to make friends collect cosmetics and play musical instruments!,1
yet to understand what this game is! though graphics are absolutely phenomenal.,1
i usually wouldn't leave reviews  let alone 5 star reviews  but this game is way better than i thought it would be. it's music is also amazing ,1
it's the best game ever i never get board it's free and paid too but free items also are so awesome 50% paid 50% free i love this game!,1
the ending literally made me tear up. this is one of the best kobile games  hands down.,1
this is so much fun. i play this game so much and i have so many memories of playing this with my friends and having a great time. 10/10 would recommend!!!!,1
since the new update for the christmas event  it's been hard to log in the game. it keeps getting errors and leaving me in loading screen. i have to restart and open the app again to get in. please fix this.,0
this game is so beautiful. wow i can really see the energy put into it. really amazing stuff from the animation to environment design. plus super amazing ux,1
this game is so peaceful and the graphics are very beautiful thank you for fixing the bug tgc!,1
absolutely amazing and wonderful...i have no words to describe. i feel more calm and relaxed while playing this game.,1
sky  brought you by the amazing developers behind journey. this is yet another breathtaking game  with amazing graphics  unique storyline and creativity! thank you.,1
a wonderful  beautiful game with stunning graphics and a friendly community.,1
really cute game. not too hard  but also challenging if you want it to be,1
game is just amazing!!i love charachter designs and graphics.music in this game is everything!! its fun to play with friends and it never gets boring!!its amazing i recommend it!!,1
would be nice if you guys could really add something to bring a some joy in this game cuz it's the same thing over and over again with each update.,0
thos is a really cool and relaxing game  i love the story and the sounds are amazing,1
beautiful game please make interest and update more unlock more stages and create more places because it's very nice game,1
this game has such an amazing graphics and story. really enjoyed playing it,1
one of the best exploration games ever. heartwarming and simply beautiful,1
amazing graphics minus the few bugs but overall it's a great game,1
its rlly fun. soundtrack is soothing. its a relaxing adventure game ,1
good graphics and cute  100% should try out if ya like calm games with great music,1
worse game i've ever played most of times you will end up with watching animations only,0
personally i admire this game for. it is very chilling.the music too is just amazing,1
graphic glitches and low performance on the s22 ultra the game is also very blurry on android,0
it's the best open world game it's so peaceful and for making new friends,1
i appreciate every single work in this amazing game!! i can say it's the best game ever that i downloaded from play store everything is so good !!,1
it's so beautiful  great sound effects  great scenes,1
a very fun and free running game. absolutely love it.,1
i've been playing daily for nearly two years. i've never loved a game more. it's my safe place.,1
very good game the background sound was to smooth and th character development was cute,1
the game really does seem  like a lot of fun  i have only started playing sky  but i'm looking forward to seeing new sights.,1
it's very relaxing and the graphics are great,1
thank you for creating this game i love it so much and the places are just pretty well made,1
this is the cutest game i've ever played!!! i really love the animation,1
honestly iove this game and the fact it has cross save with the switch is beautiful,1
the perfect game to play with strangers! no matter how bad and evil you are or elegant and brave nothing changes,1
it is a very nice game love the story line everyone must play it it worths all the data u spend,1
i love the graphic  story  anything in this game is amazing!!!,1
this game has helped me through some really challenging times mentally. it's very peaceful and has some really good energy. personally  i recommend it if you're looking for something that makes you feel good and warms your heart.,1
this game has better graphic  and a lof of hidden place to explore  i like this,1
i love this game. it's creative  calming  fun  friendly and social. it's a game i can only recommend to people curious enough to explore this world and its beautiful asthetics and art. it was an easy 5 stars ,1
this game is amazing it is beautiful and just amazing i cant say anything bad about this game.,1
has a calm theme  good for people who are into adventure games. nice music too.,1
